Community Districts,Neighborhood Code,All Households,Families,Families with Children,Families without Children
Astoria,Q01,"$73,539","$87,841","$78,430","$93,787"
Battery Park/Tribeca,M01,"$57,565","$87,681","$100,961","$80,001"
Bay Ridge,K10,"$73,633","$92,790","$94,791","$90,774"
Bayside,Q11,"$86,731","$103,806","$93,717","$105,514"
Bedford Park,B07,"$37,648","$43,001","$35,855","$55,861"
Bedford Stuyvesant,K03,"$68,618","$69,014","$68,676","$69,493"
Bensonhurst,K11,"$55,977","$62,938","$53,668","$69,253"
Borough Park,K12,"$57,754","$63,598","$55,481","$76,290"
Brownsville,K16,"$38,285","$49,418","$39,080","$52,275"
Bushwick,K04,"$70,582","$54,703","$48,652","$72,020"
Canarsie,K18,"$76,340","$85,240","$83,479","$86,727"
Central Harlem,M10,"$45,230","$57,542","$46,868","$65,862"
Chelsea/Clinton,M04,"$61,873","$115,602","$100,782","$115,858"
Concourse/Highbridge,B04,"$41,636","$46,356","$42,260","$50,481"
Coney Island,K13,"$41,541","$54,757","$43,193","$65,217"
Crown Heights North,K08,"$73,101","$84,121","$81,991","$92,997"
Crown Heights South,K09,"$62,958","$74,061","$77,296","$72,306"
East Flatbush,K17,"$60,811","$68,629","$62,164","$70,951"
East Harlem,M11,"$41,341","$49,011","$40,663","$54,863"
East New York,K05,"$52,670","$67,195","$57,063","$72,489"
East Tremont,B06,"$15,398","$19,051","$18,302","$20,510"
Elmhurst/Corona,Q04,"$63,453","$64,608","$52,440","$68,971"
Flatbush/Midwood,K14,"$66,097","$85,659","$79,375","$87,116"
Flushing,Q07,"$60,896","$71,413","$68,660","$72,530"
Fort Greene/Brooklyn Hts,K02,"$120,556","$156,390","$234,487","$137,066"
Fresh Meadows/Briarwood,Q08,"$74,493","$91,383","$92,171","$90,417"
Greenwich Village,M02,"$84,978","$129,436","$149,040","$118,097"
Howard Beach,Q10,"$82,604","$86,399","$79,417","$92,883"
Hunts Point,B02,"$10,966","$13,669","$10,072","$17,621"
Jackson Heights,Q03,"$65,860","$66,942","$51,707","$75,875"
Jamaica/St. Albans,Q12,"$68,682","$74,855","$63,874","$83,535"
Lower East Side,M03,"$49,685","$51,915","$48,482","$55,013"
Manhattanville,M09,"$53,592","$69,069","$84,015","$60,972"
Midtown Business District,M05,"$30,967","$57,857","$50,441","$57,985"
Morrisania,B03,"$14,750","$18,249","$17,532","$19,647"
Mott Haven,B01,"$19,205","$23,939","$17,638","$30,860"
Murray Hill/Stuyvesant,M06,"$117,596","$200,308","$201,520","$199,839"
Park Slope,K06,"$144,733","$200,402","$249,177","$151,058"
Pelham Parkway,B11,"$57,394","$61,748","$56,696","$68,275"
Queens Village,Q13,"$97,288","$109,173","$99,674","$111,202"
Rego Park/Forest Hills,Q06,"$88,917","$109,902","$129,135","$97,452"
Ridgewood/Glendale,Q05,"$69,726","$77,817","$63,076","$83,498"
Riverdale,B08,"$62,243","$80,080","$73,803","$84,139"
Sheepshead Bay,K15,"$64,106","$77,707","$70,769","$81,638"
South Beach,S02,"$81,111","$92,314","$91,915","$92,819"
St. George,S01,"$72,727","$94,486","$91,890","$100,923"
Sunnyside/Woodside,Q02,"$80,708","$81,098","$81,234","$81,030"
Sunset Park,K07,"$58,841","$57,202","$61,846","$53,862"
The Rockaways,Q14,"$51,643","$67,105","$60,040","$73,210"
Throgs Neck,B10,"$57,007","$65,311","$61,292","$66,912"
Tottenville,S03,"$103,200","$130,191","$139,711","$119,614"
Unionport/Soundview,B09,"$39,322","$49,002","$41,116","$57,603"
University Heights,B05,"$34,894","$41,492","$33,739","$47,423"
Upper East Side,M08,"$130,527","$194,738","$250,001","$164,161"
Upper West Side,M07,"$113,828","$224,115","$250,001","$188,806"
Washington Heights,M12,"$54,717","$61,566","$49,473","$66,268"
Williamsbridge,B12,"$61,528","$70,885","$57,028","$78,886"
Williamsburg/Greenpoint,K01,"$101,442","$104,768","$110,864","$104,259"
Woodhaven,Q09,"$75,207","$79,748","$64,184","$85,275"
